CabinetType,Category,Group,Model,A,B,C,D,E,F
Wall,12-15-high,12-single,W1212,329,348,387,426,503,554
Wall,12-15-high,12-single,W1512,339,359,399,439,519,571
Wall,12-15-high,12-single,W1812,349,370,411,452,534,588
Wall,12-15-high,12-single,W2112,359,380,422,464,549,603
Wall,12-15-high,12-single,W2412-1,409,433,481,529,625,688
Wall,12-15-high,12-double,W2412,214,227,481,529,625,688
Wall,12-15-high,12-double,W2712,418,443,492,541,640,703
Wall,12-15-high,12-double,W3012,256,271,498,548,647,712
Wall,12-15-high,12-double,W3312,278,295,509,560,662,728
Wall,12-15-high,12-double,W3612,296,315,521,573,677,745
Wall,12-15-high,12-double,W3912,459,486,540,594,702,772
Wall,12-15-high,12-double,W4212,464,491,546,601,710,781
Wall,12-15-high,12-double,W4512,479,507,563,619,732,805
Wall,12-15-high,12-double,W4812,494,523,581,639,755,831
Wall,12-15-high,15-single,W1215,335,355,394,433,512,563
Wall,12-15-high,15-single,W1515,345,365,406,447,528,581
Wall,12-15-high,15-single,W1815,356,377,419,461,545,599
Wall,12-15-high,15-single,W2115,366,388,431,474,560,616
Wall,12-15-high,15-single,W2415-1,417,441,490,539,637,701
Wall,12-15-high,15-double,W2415,246,262,490,539,637,701
Wall,12-15-high,15-double,W2715,427,452,502,552,653,718
Wall,12-15-high,15-double,W3015,294,313,515,567,670,737
Wall,12-15-high,15-double,W3315,317,338,527,580,685,754
Wall,12-15-high,15-double,W3615,339,363,540,594,702,772
Wall,12-15-high,15-double,W3915,475,503,559,615,727,800
Wall,12-15-high,15-double,W4215,486,515,572,629,744,818
Wall,12-15-high,15-double,W4515,498,527,586,645,762,839
Wall,12-15-high,15-double,W4815,508,538,598,658,777,855
Wall,18-21-high,18-single,W1218,347,367,408,449,530,584
Wall,18-21-high,18-single,W1518,358,379,421,463,547,602
Wall,18-21-high,18-single,W1818,370,392,435,479,566,623
Wall,18-21-high,18-single,W2118,382,404,449,494,584,642
Wall,18-21-high,18-single,W2418-1,434,459,510,561,663,729
Wall,18-21-high,18-double,W2418,279,297,510,561,663,729
Wall,18-21-high,18-double,W2718,445,472,524,576,681,749
Wall,18-21-high,18-double,W3018,331,354,532,585,692,761
Wall,18-21-high,18-double,W3318,358,384,545,600,709,780
Wall,18-21-high,18-double,W3618,384,413,558,614,725,798
Wall,18-21-high,18-double,W3918,490,518,576,634,749,824
Wall,18-21-high,18-double,W4218,502,531,590,649,767,844
Wall,18-21-high,18-double,W4518,513,544,604,664,785,863
Wall,18-21-high,18-double,W4818,525,556,618,680,803,884
Wall,18-21-high,21-single,W1221,362,383,426,469,554,610
Wall,18-21-high,21-single,W1521,377,399,443,487,576,633
Wall,18-21-high,21-single,W1821,390,413,459,505,597,657
Wall,18-21-high,21-single,W2121,405,428,476,524,619,681
Wall,18-21-high,21-single,W2421-1,460,487,541,595,703,774
Wall,18-21-high,21-double,W2421,311,333,541,595,703,774
Wall,18-21-high,21-double,W2721,474,502,558,614,725,798
Wall,18-21-high,21-double,W3021,484,512,569,626,740,814
Wall,18-21-high,21-double,W3321,498,527,586,645,762,839
Wall,18-21-high,21-double,W3621,513,543,603,663,784,862
Wall,18-21-high,21-double,W3921,530,562,624,686,811,892
Wall,18-21-high,21-double,W4221,545,577,641,705,833,917
Wall,18-21-high,21-double,W4521,559,592,658,724,855,941
Wall,18-21-high,21-double,W4821,574,608,675,743,878,966
